half_life_days,l2_leaf_reg,seed,f1,threshold,weight_cat_all,weight_cat_recent,weight_lgb_idte,positive_rate,positive_predictions,best_iteration_recency,baseline_cat_all_iteration,baseline_lgb_iteration,timestamp_utc
120,9,777,0.44329896907216493,0.56,0.5,0.4,0.1,0.2341842397336293,1899,289,200,15,2026-08-13T16:18:23.820576+00:00
120,9,2027,0.44607843137254904,0.448,0.0,0.5,0.5,0.203600937230238,1651,347,200,15,2026-08-13T16:18:37.131329+00:00
120,9,1337,0.4429945054945055,0.47200000000000003,0.0,0.6,0.4,0.2105068442471328,1707,397,200,15,2026-08-13T16:18:51.520249+00:00
135,3,42,0.4426121372031662,0.6000000000000001,0.4,0.6,0.0,0.2253052164261931,1827,231,200,15,2026-08-13T16:19:01.820937+00:00
135,3,2026,0.43957548784662787,0.6080000000000001,0.1,0.8999999999999999,0.0,0.21161672216056235,1716,255,200,15,2026-08-13T16:19:12.681639+00:00
135,3,777,0.4435746901500326,0.5640000000000001,0.2,0.7,0.1,0.22949808854359355,1861,329,200,15,2026-08-13T16:19:25.308392+00:00
135,3,2027,0.44041288708163906,0.52,0.4,0.4,0.2,0.24565297817240103,1992,223,200,15,2026-08-13T16:19:35.471908+00:00
135,3,1337,0.44725162171389554,0.5640000000000001,0.1,0.7999999999999999,0.1,0.21260328030583303,1724,370,200,15,2026-08-13T16:19:49.189715+00:00
135,5,42,0.4426121372031662,0.5,0.2,0.5,0.3,0.2253052164261931,1827,328,200,15,2026-08-13T16:20:01.869071+00:00
135,5,2026,0.4375637972099354,0.544,0.4,0.4,0.2,0.2138364779874214,1734,257,200,15,2026-08-13T16:20:12.776407+00:00
135,5,777,0.4411473788328388,0.6040000000000001,0.4,0.6,0.0,0.22542853619435196,1828,236,200,15,2026-08-13T16:20:23.175465+00:00
135,5,2027,0.4443009363900549,0.56,0.5,0.4,0.1,0.23332100135651745,1892,248,200,15,2026-08-13T16:20:33.857374+00:00
135,5,1337,0.44258453297623035,0.6040000000000001,0.30000000000000004,0.7,0.0,0.21975582685904552,1782,265,200,15,2026-08-13T16:20:44.974073+00:00
135,7,42,0.44408427876823336,0.5,0.30000000000000004,0.4,0.3,0.23184116413861142,1880,275,200,15,2026-08-13T16:20:56.343766+00:00
135,7,2026,0.4386473429951691,0.528,0.4,0.4,0.2,0.23430755950178814,1900,299,200,15,2026-08-13T16:21:08.393338+00:00
135,7,777,0.44175684277530236,0.56,0.2,0.7,0.1,0.23887039092366508,1937,257,200,15,2026-08-13T16:21:19.170286+00:00
